
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
94:4E:5B:6F:7E:D1, 2026-01-12 12:53:34, 2026-01-12 12:53:38,  1, 130, WPA2, CCMP, PSK, -65,        4,        2,   0.  0.  0.  0,  10, HOTBOX2021, 
D6:92:5E:B8:64:EE, 2026-01-12 12:53:34, 2026-01-12 12:53:34,  1, 540, WPA2, CCMP, PSK, -91,        1,        0,   0.  0.  0.  0,   0, , 
D0:CF:0E:85:E8:A4, 2026-01-12 12:53:35, 2026-01-12 12:53:35,  8, 195, WPA2, CCMP, PSK, -90,        2,        0,   0.  0.  0.  0,  14, 1924Farkas_2.4, 
E4:FA:C4:46:61:D6, 2026-01-12 12:53:35, 2026-01-12 12:53:35,  3, 360, WPA2, CCMP, PSK, -82,        1,        0,   0.  0.  0.  0,   8, mark1966, 
EA:FA:C4:46:61:D6, 2026-01-12 12:53:35, 2026-01-12 12:53:35,  3,  -1, WPA, ,   , -89,        0,        2,   0.  0.  0.  0,   0, , 
80:AF:CA:5B:ED:08, 2026-01-12 12:53:36, 2026-01-12 12:53:36,  9, 324, WPA3 WPA2, CCMP, SAE PSK, -88,        2,        0,   0.  0.  0.  0,  12, Más Fuerte , 
3C:7C:3F:B5:F3:A0, 2026-01-12 12:53:36, 2026-01-12 12:53:36,  9, 360, WPA2, CCMP, PSK, -48,        2,        1,   0.  0.  0.  0,   8, BOSS 2.4, 
B0:BB:E5:A4:DA:04, 2026-01-12 12:53:36, 2026-01-12 12:53:36,  9, 195, WPA2, CCMP, PSK, -71,        2,        0,   0.  0.  0.  0,   5, Hadad, 
C4:E9:0A:BF:27:B3, 2026-01-12 12:53:36, 2026-01-12 12:53:37,  5, 270, WPA2, CCMP, PSK, -83,        1,        0,   0.  0.  0.  0,   4, SHLP, 
62:D5:ED:37:E2:02, 2026-01-12 12:53:37, 2026-01-12 12:53:37, 11, 130, WPA3 WPA2, CCMP GCMP, SAE, -90,        1,        1,   0.  0.  0.  0,   0, , 
62:D5:ED:37:E2:01, 2026-01-12 12:53:37, 2026-01-12 12:53:37, 11, 130, WPA3 WPA2, CCMP, SAE PSK, -93,        0,        0,   0.  0.  0.  0,  13, HOTWiFi7-46BF, 
C8:70:23:01:D7:63, 2026-01-12 12:53:37, 2026-01-12 12:53:37,  6, 130, WPA2, CCMP, PSK, -89,        1,        0,   0.  0.  0.  0,  10, Taliindibo, 
44:15:24:90:C6:35, 2026-01-12 12:53:37, 2026-01-12 12:53:37,  6, 195, WPA3 WPA2, CCMP, SAE PSK, -89,        1,        0,   0.  0.  0.  0,  13, yesULTRA-C630, 
46:15:24:90:C6:36, 2026-01-12 12:53:37, 2026-01-12 12:53:37,  6, 195, WPA3 WPA2, CCMP, SAE PSK, -89,        1,        0,   0.  0.  0.  0,   8, iza-2.4G, 
84:D8:1B:B4:B7:52, 2026-01-12 12:53:37, 2026-01-12 12:53:37,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
8A:D8:1B:B4:B7:52, 2026-01-12 12:53:38, 2026-01-12 12:53:38,  1, 360, WPA2, CCMP, PSK, -87,        1,        0,   0.  0.  0.  0,   0, , 
C4:EB:42:F5:32:E4, 2026-01-12 12:53:38, 2026-01-12 12:53:38,  1, 195, WPA2, CCMP, PSK, -85,        1,        1,   0.  0.  0.  0,   9, Marena100, 
BC:D5:ED:7B:F8:95, 2026-01-12 12:53:38, 2026-01-12 12:53:38,  2, 195, WPA3 WPA2, CCMP, SAE PSK, -87,        1,        0,   0.  0.  0.  0,   4, Jvan, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
D8:32:14:9D:12:D1, 2026-01-12 12:53:35, 2026-01-12 12:53:35, -90,        1, (not associated) ,Tenda_9D1330
08:3A:8D:F4:24:36, 2026-01-12 12:53:36, 2026-01-12 12:53:36, -70,        1, (not associated) ,Aiman
24:D7:EB:E0:86:0F, 2026-01-12 12:53:36, 2026-01-12 12:53:36, -92,        1, (not associated) ,moduletest
70:C9:32:B7:C7:97, 2026-01-12 12:53:36, 2026-01-12 12:53:37, -90,       85, C4:E9:0A:BF:27:B3,
64:1C:AE:D0:96:27, 2026-01-12 12:53:37, 2026-01-12 12:53:37, -90,        1, (not associated) ,

